New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Fri Jan 18 13:51:14 2019
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_CarbonSources	Unique_CarbonSources	Corrected_CarbonSources	PSMs_Used_CarbonSources	TotInt_126C_CarbonSources	TotInt_127N_CarbonSources	TotInt_127C_CarbonSources	TotInt_128N_CarbonSources	TotInt_128C_CarbonSources	TotInt_129N_CarbonSources	TotInt_129C_CarbonSources	TotInt_130N_CarbonSources	TotInt_130C_CarbonSources	TotInt_131N_CarbonSources	TotInt_131C_CarbonSources
3612	1	sp|Q01766|HAL1_YEAST	 	 	 	 	6.1	294	32994	Halotolerance protein HAL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HAL1 PE=1 SV=1	3	3	1.000	3	3	3.000	3	69859.655763	78233.342285	93710.436523	69508.784668	64095.38086	63305.503418	78268.289551	75382.943847	76776.161133	2310.957245	877.527344
3613	1	sp|Q01802|AATM_YEAST	 	 	 	 	29.5	451	51795	Aspartate aminotransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AAT1 PE=1 SV=2	25	25	1.000	25	25	25.000	25	3138430.37793	2664644.52734	3021613.96435	4054024.98535	3641690.94287	3882624.14014	2648693.76074	2096878.35059	2345390.49658	62074.057555	44834.234465
3614	1	sp|Q01846|MDM1_YEAST	 	 	 	 	16.9	1127	129979	Structural protein MDM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDM1 PE=1 SV=3	27	27	1.000	27	27	27.000	27	1752417.81741	1497631.95758	1674845.5639	1024658.95166	915664.061095	957686.669861	1688267.30798	1442804.13257	1715774.78796	43777.815124	35522.913726
3615	1	sp|Q01852|TIM44_YEAST	 	 	 	 	47.1	431	48854	Mitochondrial import inner membrane translocase subunit TIM44 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM44 PE=1 SV=1	45	45	1.000	45	45	45.000	45	8292386.18732	7884306.0907	8329275.11585	7107609.87793	7291712.03382	6982345.71674	8207352.35541	6854397.56323	7941613.69067	177008.957063	126545.990722
3616	1	sp|Q01855|RS15_YEAST	 	 	 	 	49.3	142	16002	40S ribosomal protein S15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS15 PE=1 SV=1	71	71	1.000	71	71	71.000	71	5922829.70663	7122461.4469	8470938.22082	16169756.3283	16344832.1285	16621467.1359	15206478.5016	13259615.5492	14027022.5547	465025.900421	224235.275941
3618	1	sp|Q01919|KIN4_YEAST	 	 	sp|Q01919|KIN4_YEAST, sp|Q03002|FRK1_YEAST, sp|Q12152|YP150_YEAST	 	9.5	800	90087	Serine/threonine-protein kinase KIN4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KIN4 PE=1 SV=1	17	13	0.765	17	13	14.529	13	1235200.44702	1231321.50146	1391852.95923	1119244.42822	1035799.71875	1074098.98267	986866.35376	852903.609376	909148.469972	32748.659272	21159.545472
3619	1	sp|Q01926|MRS2_YEAST	 	 	 	 	15.7	470	54202	Magnesium transporter MRS2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRS2 PE=1 SV=2	11	11	1.000	11	11	11.000	11	3693114.8418	3118531.61084	3717128.06421	2196179.22699	2382796.28265	2138791.65851	5871355.15161	4745006.45142	5841606.11462	154903.447419	180896.420501
3620	1	sp|Q01939|PRS8_YEAST	 	 	sp|P33298|PRS6B_YEAST, sp|P53549|PRS10_YEAST, sp|Q01939|PRS8_YEAST	 	46.2	405	45271	26S proteasome regulatory subunit 8 homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPT6 PE=1 SV=4	50	43	0.860	50	43	45.595	43	10196302.5745	9780843.2334	10875723.7966	13599435.9805	13347645.3511	12965325.1172	8464299.9209	7496463.48633	7870010.64526	253323.761874	162565.712707
3621	1	sp|Q01976|ADPP_YEAST	 	 	 	 	29.9	231	26087	ADP-ribose pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YSA1 PE=1 SV=2	15	15	1.000	15	15	15.000	15	3902823.37744	3674073.54053	4439282.87842	3482187.12109	4063439.28711	3685344.83692	3906159.86231	3167887.55469	3394259.78027	154575.648255	75326.948608
3622	1	sp|Q02046|MTD1_YEAST	 	 	 	 	51.2	320	36239	Methylenetetrahydrofolate dehydrogenase [NAD(+)] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MTD1 PE=1 SV=1	35	35	1.000	35	35	35.000	35	3495643.84796	3432904.71497	3957483.36786	5859873.77246	6209680.71826	5839372.84814	2681946.5216	2301388.401	2370852.03784	63506.911895	59538.175752
3623	1	sp|Q02100|SKO1_YEAST	 	 	 	 	26.0	647	70191	CRE-binding bZIP protein SKO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SKO1 PE=1 SV=1	19	19	1.000	19	19	19.000	19	647539.341461	646265.486453	697861.477843	539401.864748	476636.005492	496332.01062	628793.060608	539491.72864	622684.298036	14705.772278	11380.396667
3624	1	sp|Q02159|UBC7_YEAST	 	 	 	 	16.4	165	18520	Ubiquitin-conjugating enzyme E2 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBC7 PE=1 SV=1	7	7	1.000	7	7	7.000	7	1814565.20313	1813727.375	2055692.5	1332212.60938	1227198.92969	1222756.87891	1961251.10156	1593521.625	1797444.04688	57006.357055	30234.655273
3625	1	sp|Q02196|KAPS_YEAST	 	 	 	 	17.8	202	23060	Adenylyl-sulfate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET14 PE=1 SV=1	8	8	1.000	8	8	8.000	8	1959377.66406	1685062.28906	2058286.60547	1366047.26563	1367613.17383	1195867.46484	909064.665039	718328.10547	800354.01172	14452.70813	8353.914766
3626	1	sp|Q02197|NAA35_YEAST	 	 	 	 	24.3	733	84301	N-alpha-acetyltransferase, 35 NatC auxiliary subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MAK10 PE=1 SV=1	31	31	1.000	31	31	31.000	31	2030434.92773	1929311.86084	2134978.1416	2392509.0498	2218328.47949	2262101.99732	2226337.55127	1967707.44043	2127779.84375	46571.990966	35634.569183
3627	1	sp|Q02199|NUP49_YEAST	 	 	 	 	12.5	472	49142	Nucleoporin NUP49/NSP49 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP49 PE=1 SV=1	9	9	1.000	9	9	9.000	9	1234255.95117	1189643.19141	1314827.41406	2165391.66406	2392392.53906	2449655.05469	1340439.52148	1184974.46094	1198608.22266	42811.73999	24040.441956
3628	1	sp|Q02201|OSH6_YEAST	 	 	sp|P38755|OSH7_YEAST, sp|Q02201|OSH6_YEAST	 	48.7	448	51587	Oxysterol-binding protein homolog 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OSH6 PE=1 SV=1	52	49	0.942	52	49	50.547	49	15957371.661	14187461.9373	17146330.7711	15203737.271	16913650.3032	15641196.2883	13752904.825	10943079.9933	12504126.4261	315803.479035	230929.075042
3629	1	sp|Q02202|ECM9_YEAST	 	 	 	 	18.3	377	44583	Protein ECM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ECM9 PE=1 SV=2	14	14	1.000	14	14	14.000	14	1176399.78809	964260.35205	1127026.59521	1006263.86377	863542.595215	929761.232424	1162073.66357	990717.467041	1071938.71582	30895.841431	21760.79138
3630	1	sp|Q02204|RM13_YEAST	 	 	 	 	36.0	264	30271	54S ribosomal protein L13, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRPL13 PE=1 SV=2	18	18	1.000	18	18	18.000	18	2249475.41504	1883881.82275	2258669.76318	1298915.02637	1282889.9253	1171895.38745	2114639.56543	1648017.42236	2077222.23828	48501.454833	38057.537842
3631	1	sp|Q02205|MEH1_YEAST	 	 	 	 	19.6	184	20242	Protein MEH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MEH1 PE=1 SV=1	4	4	1.000	4	4	4.000	4	234862.179688	209377.770996	220838.452637	136102.714356	121807.054688	137352.396974	420073.873046	375989.176757	516892.90039	7114.761993	8252.904052
3632	1	sp|Q02206|RSC4_YEAST	 	 	 	 	45.6	625	72290	Chromatin structure-remodeling complex subunit RSC4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RSC4 PE=1 SV=2	67	67	1.000	67	67	67.000	67	12271377.1028	11259639.3848	12912602.8435	10409793.1755	9593568.73633	9895886.05078	12495854.332	10363860.1287	11948503.062	367137.325682	279780.075259
3633	1	sp|Q02207|FOX2_YEAST	 	 	 	 	37.3	900	98702	Peroxisomal hydratase-dehydrogenase-epimerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FOX2 PE=1 SV=1	68	68	1.000	68	68	68.000	68	3394487.82721	3177626.77557	3440945.41699	4420905.55102	4072754.34222	4388873.05139	13523492.3608	11245734.33	13044464.6228	305627.308842	239753.71634
3634	1	sp|Q02208|TOF2_YEAST	 	 	 	 	16.0	771	86365	Topoisomerase 1-associated factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOF2 PE=1 SV=1	20	20	1.000	20	20	20.000	20	2286448.63525	2198276.9541	2584713.61426	1730652.18311	1677887.20898	1602693.35693	1787326.66016	1502934.69287	1668267.71045	42202.743501	29058.759401
3635	1	sp|Q02209|YKZ1_YEAST	 	 	 	 	5.4	353	41299	Uncharacterized protein YKR011C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YKR011C PE=1 SV=2	2	2	1.000	2	2	2.000	2	225598.474609	215677.431641	259906.859375	339796.304688	339517.21875	320936.539062	236854.306641	201636.619141	224178.273438	5031.603394	4108.891113
3636	1	sp|Q02256|PVH1_YEAST	 	 	 	 	33.5	364	41185	Tyrosine-protein phosphatase YVH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YVH1 PE=1 SV=1	26	26	1.000	26	26	26.000	26	3041196.86621	2992867.41235	3337522.88379	2625129.64746	2318845.0398	2447923.11255	3555642.82178	2952503.75293	4072433.4751	64696.622924	61066.72772
3637	1	sp|Q02260|SMD1_YEAST	 	 	 	 	26.0	146	16275	Small nuclear ribonucleoprotein Sm D1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SMD1 PE=1 SV=1	13	13	1.000	13	13	13.000	13	4327480.71435	3972886.67676	4405338.20606	2655087.93945	2383900.42969	2443917.55664	2852410.03027	2546686.67774	2975397.81348	57714.845184	47569.846131
3638	1	sp|Q02326|RL6A_YEAST	 	 	sp|P05739|RL6B_YEAST, sp|Q02326|RL6A_YEAST	 	48.9	176	19961	60S ribosomal protein L6-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL6A PE=1 SV=2	83	36	0.434	83	36	59.831	36	68482155.938	56911472.2522	65299032.9204	56471133.5128	60403406.7759	59442324.9572	46971046.9431	37892213.1331	47734078.4265	1033326.9979	916910.42032
3639	1	sp|Q02336|ADA2_YEAST	 	 	 	 	19.4	434	50569	Transcriptional adapter 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADA2 PE=1 SV=1	26	26	1.000	26	26	26.000	26	4229495.27405	3604129.37463	4476338.70361	3811594.4685	4064146.72729	4161806.85742	4070523.73437	3266957.18506	3692228.38257	96322.960998	78413.507415
3640	1	sp|Q02354|UTP6_YEAST	 	 	 	 	45.2	440	52418	U3 small nucleolar RNA-associated protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UTP6 PE=1 SV=2	46	46	1.000	46	46	46.000	46	11977585.7336	10313720.9607	12303554.5027	10226630.532	8216715.64465	9454354.55249	10968436.2976	9485287.65527	11218071.3916	284030.733888	242759.040312
3641	1	sp|Q02455|MLP1_YEAST	 	 	 	 	34.0	1875	218454	Protein MLP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MLP1 PE=1 SV=2	131	131	1.000	131	131	131.000	131	12545309.0199	11676193.4184	13084905.3814	11818461.1765	11817629.6034	11426149.5632	12044067.9963	10128192.634	11280795.1346	304534.622379	204308.168575
3642	1	sp|Q02457|TBF1_YEAST	 	 	 	 	20.1	562	62823	Protein TBF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TBF1 PE=1 SV=2	27	27	1.000	27	27	27.000	27	2022757.90723	1954702.35596	2258509.10742	2362526.45117	2103447.12695	2202537.79297	2611213.15527	2255222.94873	2374701.40088	62860.797822	44154.26303
3643	1	sp|Q02486|ABF2_YEAST	 	 	 	 	32.8	183	21561	ARS-binding factor 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ABF2 PE=1 SV=1	49	49	1.000	49	49	49.000	49	67584347.2471	68072173.5723	78163210.9932	52683006.5303	44976593.4648	47585199.4854	89266161.3613	74655420.1318	85876946.7275	2636666.47351	2186340.00727
3644	1	sp|Q02516|HAP5_YEAST	 	 	 	 	35.5	242	27675	Transcriptional activator HAP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HAP5 PE=1 SV=1	8	8	1.000	8	8	8.000	8	1122847.89502	936338.173095	979851.784912	830519.111939	881218.981507	914307.044861	1345875.16797	1077196.23242	1299741.93689	33812.205323	29412.408935
3645	1	sp|Q02521|SPP2_YEAST	 	 	 	 	31.4	185	20648	Pre-mRNA-splicing factor SPP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPP2 PE=1 SV=1	7	7	1.000	7	7	7.000	7	198748.010743	215568.915772	252845.770996	329800.68335	356851.362305	333606.70459	365589.177246	300593.961425	315218.935547	11775.831848	6732.248535
3646	1	sp|Q02554|CUS1_YEAST	 	 	 	 	26.8	436	50252	Cold sensitive U2 snRNA suppressor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CUS1 PE=1 SV=1	16	16	1.000	16	16	16.000	16	817741.895996	1365518.66162	1040353.60596	1799405.47363	1300193.01172	2388850.26953	1242367.33106	1743261.12012	1121340.08789	54107.586213	19720.557251
3647	1	sp|Q02555|RNT1_YEAST	 	 	sp|P40459|PANC_YEAST, sp|Q02555|RNT1_YEAST	 	26.5	471	54070	Ribonuclease 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RNT1 PE=1 SV=1	16	14	0.875	16	14	14.903	14	944012.144289	758603.888306	921476.655762	1342706.91284	1256235.92627	1294922.03491	883285.282897	732893.075684	873067.928833	26001.620544	17414.044373
3648	1	sp|Q02574|MEC3_YEAST	 	 	 	 	6.5	474	53145	DNA damage checkpoint control protein MEC3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MEC3 PE=1 SV=3	4	4	1.000	4	4	4.000	4	266923.230469	266501.839844	285211.035157	271946.164063	247132.816407	258375.945312	405514.863281	355182.968751	361647.855469	5062.549438	3119.20172
3649	1	sp|Q02606|YP014_YEAST	 	 	 	 	11.3	381	42477	Uncharacterized protein YPL014W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPL014W PE=1 SV=1	3	3	1.000	3	3	3.000	3	121474.197999	137005.87207	160594.860352	181094.447265	176311.67871	172252.203125	77656.297363	74164.887695	69632.160157	2863.521667	1747.048645
3650	1	sp|Q02608|RT16_YEAST	 	 	 	 	28.1	121	13639	37S ribosomal protein S16, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRPS16 PE=1 SV=1	6	6	1.000	6	6	6.000	6	608190.939941	583149.769287	727576.690918	1040855.99219	1288000.2207	1267247.63379	765826.273438	645239.388671	674072.952148	22524.988953	14651.741548
3651	1	sp|Q02629|NU100_YEAST	 	 	 	 	11.5	959	99987	Nucleoporin NUP100/NSP100 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP100 PE=1 SV=1	18	18	1.000	18	18	18.000	18	3446150.64746	3286712.67554	3851956.19751	2740741.00537	3168452.86572	2817368.73779	3186931.27612	2716951.7539	2864205.21143	89973.342897	66331.581787
3652	1	sp|Q02630|NU116_YEAST	 	 	 	 	10.8	1113	116233	Nucleoporin NUP116/NSP116 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP116 PE=1 SV=2	28	28	1.000	28	28	28.000	28	5994075.2179	5692041.53723	6441288.55847	4578786.34326	4511632.84497	4199876.46924	5387522.60986	4734992.08032	5096925.22974	152702.979096	110430.104585
3653	1	sp|Q02642|NACB1_YEAST	 	 	 	 	36.9	157	17020	Nascent polypeptide-associated complex subunit beta-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EGD1 PE=1 SV=2	86	86	1.000	86	86	86.000	86	22943254.8778	23603423.6703	28569381.8398	15490751.2009	15411597.4056	14121545.1903	19699630.9742	16389058.0113	17596797.5475	351391.522491	298012.819457
3654	1	sp|Q02647|DYL1_YEAST	 	 	 	 	39.1	92	10441	Dynein light chain 1, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DYN2 PE=1 SV=1	13	13	1.000	13	13	13.000	13	15428923.5547	12650547.1875	15633464.25	6940742.20313	6555307.30469	5996731.66797	15630745.5625	13137240.5547	15182913.7188	361712.042298	236411.712646
3655	1	sp|Q02648|TRM44_YEAST	 	 	 	 	36.5	567	64854	tRNA (uracil-O(2)-)-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRM44 PE=1 SV=1	29	29	1.000	29	29	29.000	29	1793211.7948	1671813.5581	1943188.51434	2613743.18396	2367751.44348	2531302.99976	1988890.34204	1698284.48145	1797768.51752	59874.285521	37985.631682
3656	1	sp|Q02685|RMI1_YEAST	 	 	 	 	8.3	241	26859	RecQ-mediated genome instability protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RMI1 PE=1 SV=1	3	3	1.000	3	3	3.000	3	125400.371094	122439.738281	144959.550781	131338.552734	110032.257812	116911.644531	133413.792969	132419.902344	136147.332032	5480.940185	2921.279541
3657	1	sp|Q02724|ULP1_YEAST	 	 	 	 	22.2	621	72377	Ubiquitin-like-specific protease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ULP1 PE=1 SV=1	25	25	1.000	25	25	25.000	25	4341407.24377	3976075.08667	4518536.29688	3078287.74927	2810496.66699	3020912.79077	4468808.2185	3897706.76685	4391408.4906	137570.381288	94837.43686
3658	1	sp|Q02725|VTC3_YEAST	 	 	sp|P43585|VTC2_YEAST, sp|Q02725|VTC3_YEAST	 	32.5	835	96552	Vacuolar transporter chaperone 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VTC3 PE=1 SV=1	43	40	0.930	43	40	41.000	40	6344453.98926	6015280.57947	7364767.95715	6613316.9917	7429097.49927	7227754.39087	5125953.54175	4499842.31738	4607140.48047	122684.663421	94843.023434
3659	1	sp|Q02732|CENPP_YEAST	 	 	 	 	12.5	369	42782	Inner kinetochore subunit CTF19 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CTF19 PE=1 SV=1	11	11	1.000	11	11	11.000	11	862520.087555	795730.92627	977091.586914	998026.859011	1031346.9462	942485.959473	1168719.71521	953167.010345	1072177.39233	41078.362488	26011.167266
3660	1	sp|Q02733|IRC15_YEAST	 	 	 	 	5.4	499	54156	Increased recombination centers protein 15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IRC15 PE=1 SV=1	3	3	1.000	3	3	3.000	3	387739.226075	356314.0542	431947.653809	739839.887695	722011.375977	752483.658691	718947.585938	560699.138672	596391.511719	20105.598633	16128.457031
3661	1	sp|Q02753|RL21A_YEAST	 	 	 	 	33.1	160	18242	60S ribosomal protein L21-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL21A PE=1 SV=1	36	36	1.000	36	36	36.000	36	29170547.5466	26323700.2407	32462976.8735	48196885.8887	50581527.2656	49735602.127	26259358.2183	22451149.7959	22704008.6047	620555.464843	353017.974486
3662	1	sp|Q02754|YP067_YEAST	 	 	 	 	50.0	198	22776	Uncharacterized protein YPL067C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPL067C PE=1 SV=1	34	34	1.000	34	34	34.000	34	15885480.8867	16244100.1592	19992924.1025	2752910.26221	2425330.79273	1808310.50562	2803079.25	2606616.07983	2961256.30566	61826.117157	45011.457122
3663	1	sp|Q02767|VPS28_YEAST	 	 	 	 	14.0	242	27702	Vacuolar protein sorting-associated protein 28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS28 PE=1 SV=1	6	6	1.000	6	6	6.000	6	108762.043457	101059.376465	113357.058106	165132.97754	136278.674804	146153.03711	130687.385254	113131.784667	131183.261231	1096.895264	665.195312
3664	1	sp|Q02770|CWC27_YEAST	 	 	 	 	17.9	301	35025	Peptidyl-prolyl isomerase CWC27 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CWC27 PE=1 SV=1	13	13	1.000	13	13	13.000	13	672478.181153	665432.288087	732434.716311	725917.01416	687174.156249	690696.562499	941035.969728	824841.379882	874147.585938	18409.483827	18320.87976
3665	1	sp|Q02771|PT117_YEAST	 	 	 	 	32.7	107	12281	Protein PET117, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PET117 PE=1 SV=1	12	12	1.000	12	12	12.000	12	4643921.66309	4187791.92383	4753546.91309	2940350.94043	2443615.29883	2718010.4248	5316304.67578	4603157.44043	5401909.8916	127594.15164	94046.136962
3666	1	sp|Q02772|PT191_YEAST	 	 	 	 	64.8	108	12394	Mitochondrial protein PET191 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PET191 PE=1 SV=1	17	17	1.000	17	17	17.000	17	2844133.2168	2696785.13379	3176206.39062	2603365.98926	2627248.87695	2463844.67285	2984649.29199	2622572.32031	2971976.10547	80853.215514	46494.351195
3667	1	sp|Q02773|RPM2_YEAST	 	 	sp|P36122|BCH2_YEAST, sp|Q02773|RPM2_YEAST	 	23.2	1202	139346	Ribonuclease P protein component, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPM2 PE=1 SV=1	48	47	0.979	48	47	47.635	47	3127582.73267	2766744.94629	2976342.88135	4213095.6206	3544304.06103	3795153.73315	2920440.31006	2600508.41724	2823718.36303	68448.84616	42604.686493
3668	1	sp|Q02774|SHR3_YEAST	 	 	 	 	7.1	210	23512	Secretory component protein SHR3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SHR3 PE=1 SV=2	9	9	1.000	9	9	9.000	9	5043586.27246	4147342.1333	4429493.0957	2790822.36182	2422308.81689	2777954.02979	4762693.60059	4415870.75439	4966234.37109	143006.410156	101844.413239
3669	1	sp|Q02775|SLU7_YEAST	 	 	 	 	29.6	382	44636	Pre-mRNA-splicing factor SLU7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SLU7 PE=1 SV=1	21	21	1.000	21	21	21.000	21	3221417.88281	2878202.5249	3416145.8042	2027562.67188	1907459.31543	1903024.18604	2412539.68066	1982830.74121	2316278.07324	68829.14508	55941.767975
3670	1	sp|Q02776|TIM50_YEAST	 	 	 	 	41.4	476	55098	Mitochondrial import inner membrane translocase subunit TIM50 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM50 PE=1 SV=1	103	103	1.000	103	103	103.000	103	18272543.6321	15121244.8003	16585890.398	13554015.4998	12450999.9463	12830445.3132	21786130.311	19046028.5103	21813592.6699	722749.966462	481899.134643
3671	1	sp|Q02783|LPE10_YEAST	 	 	 	 	11.1	413	47082	Mitochondrial inner membrane magnesium transporter MFM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MFM1 PE=1 SV=1	5	5	1.000	5	5	5.000	5	395501.589843	329329.893555	360519.868164	228186.960938	195364.756836	205750.657227	281809.674805	274944.995117	315037.121093	7082.75122	3395.494965
3672	1	sp|Q02784|GLRX5_YEAST	 	 	 	 	33.3	150	16931	Monothiol glutaredoxin-5, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GRX5 PE=1 SV=1	6	6	1.000	6	6	6.000	6	850143.243652	867915.463866	1029552.92725	3074077.85449	3199467.2959	3160919.43652	1720789.57617	1524493.01709	1558004.89063	60451.529968	47057.111115
3673	1	sp|Q02785|PDR12_YEAST	 	 	sp|P32568|SNQ2_YEAST, sp|P51533|PDR10_YEAST, sp|Q02785|PDR12_YEAST	 	31.4	1511	171063	ATP-dependent permease PDR12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDR12 PE=1 SV=1	124	122	0.984	124	122	123.089	122	5516186.24643	4907058.07246	5727585.79755	7638969.37268	7225479.73144	7603690.38376	17260094.9788	14750548.4888	17742155.9717	557557.881226	449662.95837
3674	1	sp|Q02792|XRN2_YEAST	 	 	 	 	32.6	1006	115933	5'-3' exoribonuclease 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RAT1 PE=1 SV=3	55	55	1.000	55	55	55.000	55	5003346.3645	4557861.58624	5338385.4729	5256121.73267	5085427.98865	5284655.16455	4534695.2439	3947665.12726	4333874.46588	123870.049835	89812.540742
3675	1	sp|Q02793|SKI8_YEAST	 	 	 	 	15.9	397	44231	Antiviral protein SKI8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SKI8 PE=1 SV=1	13	13	1.000	13	13	13.000	13	2491214.02344	2078949.04883	2611415.75488	4026983.77539	4253396.58203	4415255.82227	1790092.125	1424716.38135	1488450.80273	36400.995849	26401.397186
3676	1	sp|Q02795|OSTD_YEAST	 	 	 	 	19.6	286	31653	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit SWP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SWP1 PE=1 SV=1	16	16	1.000	16	16	16.000	16	2198919.20117	1997630.8877	2362400.67773	2687651.91016	2715259.22754	2415982.3125	3482552.55762	3180714.41406	3189076.8125	116847.369691	84493.881012
3677	1	sp|Q02796|LGE1_YEAST	 	 	 	 	19.9	332	37309	Transcriptional regulatory protein LGE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LGE1 PE=1 SV=1	8	8	1.000	8	8	8.000	8	537530.334473	533839.626159	574448.006348	532276.806397	560279.540283	555560.01355	532615.33606	442369.38138	521246.733399	14883.117066	12092.8042
